n,Divide and Conquer,Dynamic Programming
12020050,785,28
12030050,786,30
12040050,796,30
12050050,808,31
12060050,797,29
12070050,807,29
12080050,796,28
12090050,809,28
12100050,791,29
12110050,822,27
12120050,835,31
12130050,812,28
12140050,800,29
12150050,806,29
12160050,829,31
12170050,853,27
12180050,798,28
12190050,820,28
12200050,790,29
12210050,795,29
12220050,805,30
12230050,811,31
12240050,816,29
12250050,832,30
12260050,802,29
12270050,799,29
12280050,808,29
12290050,814,29
12300050,808,29
12310050,810,29
12320050,818,30
12330050,813,28
12340050,824,29
12350050,810,28
12360050,821,29
12370050,817,28
12380050,818,29
12390050,813,31
12400050,809,29
12410050,823,29
12420050,826,30
12430050,817,30
12440050,821,29
12450050,823,29
12460050,816,28
12470050,830,28
12480050,836,29
12490050,825,28
12500050,809,29
12510050,825,28
12520050,814,29
12530050,825,30
12540050,821,31
12550050,809,31
12560050,825,30
12570050,820,29
12580050,827,29
12590050,819,30
12600050,828,29
12610050,835,30
12620050,815,31
12630050,826,32
12640050,826,29
12650050,824,30
12660050,837,30
12670050,822,29
12680050,824,30
12690050,838,30
12700050,826,32
12710050,825,30
12720050,838,32
12730050,830,31
12740050,827,30
12750050,827,30
12760050,833,31
12770050,848,33
12780050,871,34
12790050,865,32
12800050,842,32
12810050,837,29
12820050,846,30
12830050,838,29
12840050,831,30
12850050,838,32
12860050,844,31
12870050,847,31
12880050,837,30
12890050,850,31
12900050,830,30
12910050,837,31
12920050,844,31
12930050,853,29
12940050,854,31
12950050,841,31
12960050,846,31
12970050,836,31
12980050,848,31
12990050,870,32
13000050,848,30
13010050,845,31
13020050,833,30
13030050,849,31
13040050,846,30
13050050,852,32
13060050,860,31
13070050,846,31
13080050,852,31
13090050,846,30
13100050,843,30
13110050,867,31
13120050,871,31
13130050,882,32
13140050,915,35
13150050,950,33
13160050,890,30
13170050,860,32
13180050,876,30
13190050,859,30
13200050,872,31
13210050,858,31
13220050,872,33
13230050,865,31
13240050,857,31
13250050,861,32
13260050,859,32
13270050,877,31
13280050,884,30
13290050,860,31
13300050,866,31
13310050,868,31
13320050,870,32
13330050,869,32
13340050,879,30
13350050,858,31
13360050,872,31
13370050,875,31
13380050,893,31
13390050,873,30
13400050,877,31
13410050,875,30
13420050,882,30
13430050,875,32
13440050,881,32
13450050,887,32
13460050,867,32
13470050,879,31
13480050,884,32
13490050,873,32
13500050,872,32
13510050,876,31
13520050,885,32
13530050,875,34
13540050,879,32
13550050,866,32
13560050,878,32
13570050,890,31
13580050,875,33
13590050,883,33
13600050,888,31
13610050,896,32
13620050,880,32
13630050,900,32
13640050,889,33
13650050,885,32
13660050,896,31
13670050,884,31
13680050,881,34
13690050,882,33
13700050,881,33
13710050,889,31
13720050,887,35
13730050,910,34
13740050,886,35
13750050,899,33
13760050,891,33
13770050,908,32
13780050,906,33
13790050,884,31
13800050,891,31
13810050,891,34
13820050,888,36
13830050,897,32
13840050,907,34
13850050,910,34
13860050,920,33
13870050,909,31
13880050,902,32
13890050,905,31
